Wall time,Step,Value
1725451536.1790297,3,68.83647155761719
1725451561.971011,11,209.79844665527344
1725451567.384909,13,205.06539916992188
1725451592.9059482,21,398.277587890625
1725451609.6809626,26,465.3367004394531
1725451669.5863311,46,723.84326171875
1725451688.6715517,52,425.468505859375
1725451699.223207,56,635.7666015625
1725451727.2494287,66,536.3285522460938
1725451729.88652,67,516.7767944335938
1725451772.2405982,82,542.9909057617188
1725451805.9118567,93,680.8746948242188
1725451828.4623024,101,720.6212158203125
1725451834.4813056,103,796.8663940429688
1725451840.0397012,105,734.6243286132812
1725451853.2037995,110,780.4622192382812
1725451870.0608153,116,615.8583984375
1725451899.997704,127,999.4110107421875
1725451913.9784348,132,1119.44873046875
1725451916.6359453,133,813.3670043945312
1725451942.2404196,142,1040.2982177734375
1725451969.6060147,152,1202.2545166015625
1725451972.2361984,153,1212.35498046875
1725452013.3484983,168,1610.9718017578125
1725452042.368838,178,913.1315307617188
1725452055.9845924,183,736.6820068359375
1725452061.2208483,185,677.5748901367188
1725452069.1294136,188,950.195068359375
1725452120.8346996,207,1035.55517578125
1725452151.208674,218,841.1450805664062
1725452173.661167,226,1189.7735595703125
1725452181.6733968,229,937.666748046875
1725452216.9935353,242,930.6923217773438
1725452226.780042,245,962.4646606445312
1725452232.6305313,247,1157.585693359375
1725452291.818903,268,1726.472900390625
1725452300.1542687,271,958.4834594726562
1725452302.6788256,272,779.4166870117188
1725452310.7947266,275,1374.68701171875
1725452378.8615012,300,1032.4005126953125
1725452381.840998,301,1681.06201171875
1725452392.9398594,305,1516.400146484375
1725452446.7958548,323,957.7737426757812
1725452462.8896086,325,1001.4506225585938
1725452466.9245358,326,1320.2186279296875
1725452471.5948436,327,1018.650634765625
1725452485.856768,330,1263.5152587890625
1725452503.6336358,334,1512.0316162109375
1725452512.3614142,336,1668.5296630859375
1725452540.4820833,342,886.75830078125
1725452545.044159,343,1443.95947265625
1725452562.2688048,347,1389.5902099609375
1725452609.7406886,358,1205.9521484375
1725452621.809229,361,1300.4398193359375
1725452626.1402996,362,1101.30224609375
1725452639.9963279,365,1056.2333984375
1725452712.3911262,380,1598.8585205078125
1725452725.975934,383,1590.8790283203125
1725452731.052109,384,1652.81591796875
1725452783.4167652,396,1297.8167724609375
1725452852.2306135,411,1647.906005859375
1725452879.004812,417,1134.9425048828125
1725452918.642595,426,1653.05126953125
1725452927.4970434,428,1678.6151123046875
1725452936.1049747,430,1672.929443359375
1725452953.1619678,434,1446.255126953125
1725452978.1560433,440,1029.152587890625
1725452986.421535,442,1125.54150390625
1725452995.2223055,444,1667.1373291015625
1725453020.241929,450,1671.4598388671875
1725453028.9999924,452,1712.970703125
1725453069.6493883,461,1692.7454833984375
1725453078.0717947,463,1251.7506103515625
1725453086.9330888,465,1695.2977294921875
1725453131.5296159,475,1687.0218505859375
1725453136.353695,476,1696.0169677734375
1725453153.1959944,480,1686.87646484375
1725453159.1630015,481,1692.6092529296875
1725453188.5441263,488,1102.9813232421875
1725453208.7268548,493,1655.29150390625
1725453242.164495,501,1251.197998046875
1725453279.6550186,510,1786.498779296875
1725453295.7469497,514,1144.63232421875
1725453308.1438112,517,1241.071044921875
1725453313.8331273,519,1818.2408447265625
1725453373.6334822,539,1688.2470703125
1725453382.3036156,542,1508.8807373046875
1725453396.5180802,547,1481.4031982421875
1725453405.1029344,550,1133.075439453125
1725453410.7124872,552,1395.6016845703125
1725453422.8674653,556,1676.8526611328125
1725453448.3843844,565,1709.6346435546875
1725453454.2392836,567,1693.0045166015625
1725453457.618004,568,1599.44482421875
1725453466.8195844,571,1686.2501220703125
1725453528.3509934,593,1426.945556640625
1725453554.6667676,603,1362.9371337890625
1725453666.132106,646,973.7386474609375
1725453671.1004016,648,1075.485595703125
1725453686.653996,654,1761.3184814453125
1725453697.2963343,658,1266.7191162109375
1725453703.0767734,660,1168.7005615234375
1725453710.7500587,663,893.18701171875
1725453740.552868,674,1775.197265625
1725453756.15205,680,1681.5570068359375
1725453774.235443,687,1697.1226806640625
1725453792.4385808,694,1705.1097412109375
1725453805.0052512,699,1666.8817138671875
1725453815.7843642,703,1782.0245361328125
1725453844.2859938,714,1754.1309814453125
1725453854.4096043,718,1730.0640869140625
1725453862.135995,721,1765.6038818359375
1725453864.765336,722,1756.5184326171875
1725453872.3463364,725,1545.1805419921875
1725453937.797701,750,1686.5257568359375
1725453945.7688744,753,1701.57275390625
1725453972.094316,763,1688.117431640625
1725453979.7286236,766,1686.02880859375
1725453995.562861,772,1679.56494140625
1725454023.8431475,783,1777.28564453125
1725454098.6142704,812,782.5848999023438
1725454124.590778,822,1115.689208984375
1725454129.722257,824,1115.10498046875
1725454145.0894861,828,809.404296875
1725454150.40147,830,1694.0233154296875
1725454162.9533005,835,1105.8836669921875
1725454187.3660166,841,1002.5596313476562
1725454233.214425,857,1612.60107421875
1725454250.0668843,863,1667.9521484375
1725454304.9050913,884,1637.3690185546875
1725454309.9414046,886,1681.6328125
1725454325.3795655,892,1095.99560546875
1725454330.3032699,894,1251.678466796875
1725454340.5782633,898,1680.6123046875
1725454345.496843,900,1020.262939453125
1725454348.1496046,901,1702.1085205078125
1725454353.1867976,903,1116.8875732421875
1725454391.481388,917,1657.4461669921875
1725454403.9664586,922,664.4221801757812
1725454406.384463,923,864.8380126953125
1725454427.0364156,931,1230.7508544921875
1725454429.5395787,932,1672.747802734375
1725454434.4404662,934,1177.7578125
1725454442.289625,937,1658.56591796875
1725454491.4807491,956,1733.4620361328125
1725454537.3310013,973,1675.5103759765625
1725454593.2128077,994,1072.083251953125
1725454603.4605815,998,1426.9434814453125
1725454605.9853845,999,1720.0445556640625
1725454608.5436907,1000,1651.70751953125
1725454613.610989,1002,780.6585083007812
1725454616.187071,1003,1689.01513671875
1725454643.9665694,1012,1786.34228515625
