Wall time,Step,Value
1725451539.3464155,4,0.8138049244880676
1725451581.0669448,18,1.475131869316101
1725451609.6811,26,1.837978482246399
1725451612.3125243,27,1.867099404335022
1725451651.474723,40,2.062164545059204
1725451674.3408484,47,2.17992901802063
1725451677.718274,48,2.3021419048309326
1725451716.1332262,62,2.381010055541992
1725451719.1318247,63,2.1637625694274902
1725451729.8866425,67,2.2717034816741943
1725451741.690461,71,2.280790328979492
1725451757.9917736,77,2.3217334747314453
1725451772.240749,82,2.0688459873199463
1725451792.9592862,89,2.2718636989593506
1725451822.7078576,99,2.1832032203674316
1725451834.481465,103,2.2143778800964355
1725451845.2866445,107,2.1545372009277344
1725451883.792953,121,2.266535997390747
1725451894.6988354,125,2.2981960773468018
1725451897.3265908,126,2.319913625717163
1725451903.0317678,128,2.498957395553589
1725451908.3844986,130,2.301940441131592
1725451926.0003345,136,2.354456663131714
1725451947.5244968,144,2.3530592918395996
1725451956.034318,147,2.269256591796875
1725451983.0741332,157,2.4685630798339844
1725451991.5392797,160,2.4976327419281006
1725451997.015106,162,2.3407397270202637
1725452002.3611624,164,1.9128353595733643
1725452025.4670675,172,2.4190211296081543
1725452039.7630646,177,2.313692331314087
1725452077.8118353,191,2.5224361419677734
1725452110.2656379,203,2.483511209487915
1725452115.5389078,205,2.453779458999634
1725452137.6687455,213,2.632718086242676
1725452181.6735582,229,2.4743001461029053
1725452223.836274,244,2.642343044281006
1725452226.7801838,245,2.47597336769104
1725452264.1830847,258,2.543938636779785
1725452266.8216546,259,2.334916114807129
1725452300.1543863,271,2.5779151916503906
1725452308.0930238,274,2.4987504482269287
1725452330.3938313,282,2.5971500873565674
1725452338.2285814,285,2.5524349212646484
1725452351.496746,290,2.3724942207336426
1725452365.05769,295,2.6426985263824463
1725452401.095155,308,2.6773507595062256
1725452423.0854907,316,2.740002393722534
1725452428.460149,318,2.6240766048431396
1725452431.0956576,319,2.6067891120910645
1725452440.9760487,322,2.450613021850586
1725452553.3827937,345,2.346487283706665
1725452558.4927237,346,2.2692673206329346
1725452609.7408392,358,2.6668508052825928
1725452633.8991108,364,2.5719053745269775
1725452639.9965298,365,2.606062650680542
1725452644.2844713,366,2.739759683609009
1725452701.7758164,378,2.2321884632110596
1725452739.7147267,386,2.3293545246124268
1725452757.2574832,390,2.540065288543701
1725452766.6292808,392,2.509106159210205
1725452787.4380383,397,2.406296968460083
1725452809.0354357,402,2.6729156970977783
1725452817.784798,404,2.5579845905303955
1725452871.1298985,415,2.462857723236084
1725452896.8984563,421,2.3380608558654785
1725452901.233523,422,2.6467089653015137
1725452961.0945504,436,2.408234119415283
1725452965.7377856,437,2.3915395736694336
1725452974.4393518,439,2.7616586685180664
1725453003.0406673,446,2.7075321674346924
1725453069.6495316,461,2.386838436126709
1725453086.9332016,465,2.391940116882324
1725453099.3660865,468,2.6527583599090576
1725453107.8540494,470,2.3719546794891357
1725453127.6763015,474,2.3504559993743896
1725453131.5297866,475,2.375535249710083
1725453153.1961343,480,2.3751304149627686
1725453159.1631835,481,2.3866844177246094
1725453183.8629487,487,2.7053780555725098
1725453279.6551754,510,2.5743234157562256
1725453287.607059,512,2.430415153503418
1725453291.732858,513,2.763704299926758
1725453295.747095,514,2.75421142578125
1725453308.143952,517,2.694937229156494
1725453313.833269,519,2.6376731395721436
1725453354.299622,533,2.3940696716308594
1725453357.222886,534,2.3884828090667725
1725453363.4250133,536,2.6873509883880615
1725453370.7477753,538,2.620861291885376
1725453376.5012012,540,2.7292423248291016
1725453388.0319908,544,2.4158687591552734
1725453393.6797922,546,2.7450664043426514
1725453410.7126503,552,2.7938168048858643
1725453422.867592,556,2.3552558422088623
1725453439.9267056,562,2.4255411624908447
1725453445.512748,564,2.106672525405884
1725453457.6181304,568,2.2005035877227783
1725453504.7616951,584,2.667428731918335
1725453520.2475538,590,2.621436834335327
1725453530.8694189,594,2.503527879714966
1725453536.0399652,596,2.3022444248199463
1725453583.1605718,614,2.7814507484436035
1725453603.8529022,622,2.327378034591675
1725453606.4943335,623,2.298509359359741
1725453618.8942811,628,2.4409773349761963
1725453621.4570541,629,2.612583637237549
1725453642.8558073,637,2.201476812362671
1725453658.4053416,643,2.7130157947540283
1725453661.1400294,644,2.709326982498169
1725453673.6745644,649,2.378385305404663
1725453697.2964814,658,2.641296863555908
1725453721.677094,667,2.4053561687469482
1725453743.0498512,675,2.3640193939208984
1725453745.6147969,676,2.3737261295318604
1725453787.3434918,692,2.6894168853759766
1725453792.4387085,694,2.411586046218872
1725453862.1361563,721,2.532637596130371
1725453867.2785397,723,2.6522305011749268
1725453872.3465,725,2.8740549087524414
1725453880.4575102,728,2.331789255142212
1725453888.2352037,731,2.4789960384368896
1725453890.845196,732,2.4544153213500977
1725453922.076854,744,2.396458625793457
1725453974.6120217,764,2.374147653579712
1725454003.286591,775,2.6715075969696045
1725454005.7627785,776,2.5753283500671387
1725454021.2380874,782,2.7330098152160645
1725454036.5525033,788,2.283074140548706
1725454078.3050277,804,2.331120014190674
1725454080.799745,805,2.649989366531372
1725454085.8660982,807,2.376319408416748
1725454116.83491,819,2.5307700634002686
