Episode 0: Reward = [86.10113], Parameters = [0.0, 3.534291735288517, 3.7080948647394694, 3.1368269096369468, 4.817744378254252, 0.0, 0.0, 0.0, 0.09261868066971324, 0.001, 0.3949237343197748]
Episode 1: Reward = [69.811516], Parameters = [0.0, 3.534291735288517, 4.434813539835155, 2.494533080650478, 5.005127642531051, 0.0, 0.0, 0.0, 0.33312681736584004, 0.5, 0.1005754799024874]
Episode 2: Reward = [69.20166], Parameters = [0.0, 3.534291735288517, 3.565076354663301, 2.346965979477726, 5.5, 0.0, 0.0, 0.0, 0.227596225322391, 0.3615728974743327, 0.3161052909412449]
Episode 3: Reward = [68.15446], Parameters = [0.0, 3.534291735288517, 3.5, 2.3540385184910866, 5.482242169197613, 0.0, 0.0, 0.0, 0.008598285205605934, 0.10649634971808339, 0.06942113223652437]
Episode 4: Reward = [232.3207], Parameters = [0.0, 3.534291735288517, 4.129347765331321, 3.0181421420396783, 4.6, 0.0, 0.0, 0.0, 0.2134551975986555, 0.1616507464866876, 0.0994808080814935]
Episode 5: Reward = [214.00153], Parameters = [0.0, 3.534291735288517, 3.5, 3.1210342672091373, 4.818477481972384, 0.0, 0.0, 0.0, 0.2639270058424181, 0.06840683763985775, 0.11531076010932706]
Episode 6: Reward = [214.15936], Parameters = [0.0, 3.534291735288517, 4.5, 2.3973708649921486, 4.664818691635417, 0.0, 0.0, 0.0, 0.2894486631624022, 0.29796281372569816, 0.295266742121938]
Episode 7: Reward = [221.9821], Parameters = [0.0, 3.534291735288517, 4.45852553912068, 2.344929700328677, 5.12248637490125, 0.0, 0.0, 0.0, 0.5, 0.32503635477837584, 0.11735471624735594]
Episode 8: Reward = [225.66644], Parameters = [0.0, 3.534291735288517, 3.9697016689015365, 3.3, 4.9774077585901875, 0.0, 0.0, 0.0, 0.22052569988532528, 0.1714190327642333, 0.38552417165163194]
Episode 9: Reward = [244.24597], Parameters = [0.0, 3.534291735288517, 4.130478718242632, 2.3, 4.952994946736294, 0.0, 0.0, 0.0, 0.02912849376891584, 0.4734189463133285, 0.16201018819214086]
Episode 10: Reward = [251.31741], Parameters = [0.0, 3.534291735288517, 4.057562724742742, 2.8795843413254727, 4.867964441413085, 0.0, 0.0, 0.0, 0.30353446511586885, 0.001, 0.14982212460073277]
Episode 11: Reward = [261.7276], Parameters = [0.0, 3.534291735288517, 4.433903134291701, 2.6659351300603107, 4.6, 0.0, 0.0, 0.0, 0.3208950133649346, 0.3289372226795511, 0.36880578977640466]
Episode 12: Reward = [280.46185], Parameters = [0.0, 3.534291735288517, 3.6736176184940708, 2.9065187134490484, 5.2109405018642665, 0.0, 0.0, 0.0, 0.5, 0.36826311969704484, 0.3173544712730834]
Episode 13: Reward = [307.74695], Parameters = [0.0, 3.534291735288517, 4.430297081343284, 2.3, 5.483582407697111, 0.0, 0.0, 0.0, 0.48345237979216493, 0.2504526200940721, 0.3102781377609096]
Episode 14: Reward = [318.85526], Parameters = [0.0, 3.534291735288517, 4.299618353351771, 2.9125625599020486, 4.965998396185815, 0.0, 0.0, 0.0, 0.060429482491353104, 0.001, 0.2027015438133132]
Episode 15: Reward = [326.85776], Parameters = [0.0, 3.534291735288517, 4.387552564105137, 2.6475942320707073, 4.70356823209075, 0.0, 0.0, 0.0, 0.5, 0.22466182483255565, 0.3614510053507799]
Episode 16: Reward = [323.68533], Parameters = [0.0, 3.534291735288517, 3.7365762002378187, 2.3, 4.8378275302743114, 0.0, 0.0, 0.0, 0.4068735996168169, 0.25200801462245087, 0.24606324037958993]
Episode 17: Reward = [323.9494], Parameters = [0.0, 3.534291735288517, 3.612352170751923, 3.3, 5.12980488821838, 0.0, 0.0, 0.0, 0.16437457427578808, 0.3950962879499278, 0.34388283093879196]
Episode 18: Reward = [322.05902], Parameters = [0.0, 3.534291735288517, 3.94674640750711, 2.631035259524176, 5.5, 0.0, 0.0, 0.0, 0.42549285414873256, 0.2047569164700179, 0.31016591795431575]
Episode 19: Reward = [335.96613], Parameters = [0.0, 3.534291735288517, 3.8518627572269297, 3.1206849639931153, 5.5, 0.0, 0.0, 0.0, 0.2537873504168338, 0.1344305642140764, 0.15223921627352965]
Episode 20: Reward = [201.23515], Parameters = [0.0, 3.534291735288517, 4.5, 2.481948531837837, 4.781903426978041, 0.0, 0.0, 0.0, 0.20828351219290048, 0.19274681568186444, 0.16956587542416135]
Episode 21: Reward = [331.4971], Parameters = [0.0, 3.534291735288517, 3.8284719669839093, 3.093483825371587, 4.872200442645015, 0.0, 0.0, 0.0, 0.5, 0.4758804722247665, 0.21535704912392387]
Episode 22: Reward = [324.1246], Parameters = [0.0, 3.534291735288517, 4.5, 2.503885935247555, 4.648579613073844, 0.0, 0.0, 0.0, 0.1464519786949865, 0.4474504871509268, 0.056126214643398]
Episode 23: Reward = [319.59268], Parameters = [0.0, 3.534291735288517, 3.6843605359461935, 2.4098678347773386, 4.645454039361721, 0.0, 0.0, 0.0, 0.11905140280691043, 0.5, 0.459236056454011]
Episode 24: Reward = [334.5635], Parameters = [0.0, 3.534291735288517, 3.932852379431553, 2.8088800487444487, 4.7312438436930435, 0.0, 0.0, 0.0, 0.16281872865735997, 0.5, 0.48011987301666986]
Episode 25: Reward = [355.75253], Parameters = [0.0, 3.534291735288517, 4.393994184979161, 2.7039877263407592, 5.5, 0.0, 0.0, 0.0, 0.04588853697085951, 0.20634179885639894, 0.4765499749937677]
