#{"t_start": 1726154835.389858, "env_id": "CustomHopper-v0"}
r,l,t
70.782713,42,18.056135
182.980362,86,18.155468
199.08108,103,18.254348
222.896943,106,18.352595
123.003429,77,18.447837
218.82485,107,18.579573
66.814701,44,18.624156
127.349009,66,18.686417
107.267668,62,18.744231
9.96598,12,18.760085
24.985179,22,18.782757
127.131892,67,20.53932
68.254812,42,20.645901
78.620296,47,20.784616
104.357289,66,21.039361
21.691464,19,21.110703
219.015643,114,21.679718
170.463256,86,22.003304
227.801152,98,22.141502
138.750143,80,22.235556
180.462542,97,22.393795
159.819687,76,22.539281
98.633817,58,22.607394
112.815697,62,22.725755
206.378145,101,22.846982
144.809596,76,22.920873
201.149803,118,23.058195
78.599627,53,23.139886
172.352107,86,23.234732
188.994699,91,23.337904
183.636021,87,23.437019
26.896858,26,23.481594
19.93173,17,23.498924
63.562486,39,23.543067
145.436116,73,23.616871
56.171979,33,23.648645
64.852372,57,23.709149
140.903266,74,23.775699
142.884825,81,23.865448
185.751533,94,24.047702
142.097994,72,24.118656
235.75954,108,26.284958
125.207219,76,26.503523
138.476047,70,26.655041
177.744483,87,26.792787
115.483594,60,26.900243
18.493519,21,26.924711
55.821047,34,26.974125
82.695617,47,27.04036
169.086075,81,27.157445
203.038886,99,27.379464
69.98638,42,27.4353
126.026962,66,27.523995
181.490671,86,27.621639
99.927699,56,27.679788
232.841571,120,27.789806
77.597127,48,27.837221
217.66147,95,27.937899
100.071065,56,28.035386
172.874403,80,28.31477
113.368821,71,28.396737
219.300145,105,28.523282
225.289602,107,28.650975
62.620649,38,28.698361
72.025287,45,28.755242
49.540059,36,28.798599
125.142046,75,28.886493
140.616033,74,28.990811
92.583159,53,29.041377
99.081525,55,29.089232
193.027082,90,30.971481
255.483056,109,31.08524
269.61492,122,31.30515
230.729333,100,31.420114
85.375958,50,31.506281
195.729271,86,31.63315
145.014971,75,31.746807
158.177989,76,31.830348
226.137101,106,31.949316
216.750904,98,32.072507
218.429109,95,32.184119
124.35104,73,32.303883
269.227923,125,32.440224
75.489594,44,32.481429
204.906385,95,32.585854
249.607114,110,32.870029
104.008765,64,32.933469
268.215598,127,33.053835
76.991028,53,33.17477
73.178624,41,33.320939
22.934377,19,33.389863
242.549298,114,33.665539
192.004133,92,33.798573
195.644042,90,33.88775
233.560434,113,36.138466
195.433607,93,36.245971
229.021329,118,36.349946
245.405124,111,36.544724
96.459734,54,36.635244
104.132438,57,36.72844
215.782848,110,36.884382
198.86687,90,37.014122
88.563475,67,37.098248
219.272582,109,37.251931
100.206347,59,37.327768
203.54217,102,37.417461
221.558923,98,37.518208
66.233962,40,37.567641
236.41274,107,37.683982
146.116116,85,37.775177
160.572549,102,37.928318
94.853265,55,38.0042
129.841934,75,38.144487
47.283315,32,38.183759
98.101178,56,38.249857
125.058311,72,38.38269
227.342375,112,38.535177
89.643238,51,38.612544
223.855002,100,38.71624
106.266188,58,40.214226
224.63522,104,40.311474
79.511336,49,40.359855
224.518132,112,40.46277
131.393305,69,40.529955
156.552442,77,40.602288
66.596415,42,40.646014
89.265108,51,40.693229
68.995178,41,40.757847
228.930962,108,40.891325
248.998386,106,40.986927
155.697473,79,41.065362
156.085887,80,41.144375
232.320538,104,41.243947
95.089778,55,41.29933
117.001308,63,41.392847
169.280504,80,41.502078
130.179217,69,41.570447
52.400762,34,41.601624
128.108212,65,41.678632
225.715645,102,41.780838
242.473749,117,41.919915
228.278613,98,42.033673
228.591952,115,42.168773
233.46441,100,42.30988
164.573504,83,42.416534
228.631756,106,44.086124
247.275371,106,44.188055
108.544405,60,44.246983
224.93715,105,44.346777
96.383776,60,44.397554
192.545135,94,44.491916
233.072129,105,44.585348
226.266493,105,44.722552
237.039002,103,44.876983
210.980662,101,45.016826
227.276902,110,45.133213
78.000642,48,45.185698
192.689063,87,45.282754
201.539399,94,45.414147
227.823247,101,45.552464
224.856763,116,45.750915
233.848318,115,45.910591
191.251217,92,46.085483
207.791505,95,46.236181
164.929593,81,46.33549
199.708404,91,46.421978
214.001538,96,46.529938
201.9412,102,48.007315
217.99447,111,48.111771
191.065958,90,48.19709
221.472024,98,48.289077
199.447562,91,48.381444
256.772161,120,48.492922
157.411653,87,48.589416
242.183379,125,48.758365
221.364576,106,48.905697
146.726052,74,48.971021
238.437217,120,49.089661
172.81718,87,49.170595
233.899538,104,49.272594
241.870797,112,49.416254
224.987944,103,49.610107
204.309437,94,49.742378
210.856156,96,49.876966
218.054404,95,49.993606
252.099722,105,50.109034
207.305766,95,50.213825
294.444448,117,52.18995
221.910577,97,52.284277
226.064817,102,52.389471
128.70183,71,52.463894
231.659733,99,52.581914
207.007408,96,52.689108
84.084963,50,52.748495
204.444068,94,52.842004
199.142918,100,52.957754
188.857924,85,53.153289
212.668837,109,53.396483
216.632748,106,53.499071
216.79856,100,53.616592
128.102509,68,53.731575
219.85271,101,53.881066
206.464358,101,54.022618
203.278075,93,54.13996
239.606809,109,54.274699
266.987215,114,54.443844
212.109787,93,54.558557
242.193699,111,54.708304
224.26419,100,56.430011
240.007751,109,56.593464
237.428309,102,56.811124
209.280532,97,56.925947
250.68484,120,57.064881
230.411582,108,57.18874
231.237544,106,57.295647
289.06802,116,57.409783
333.259596,125,57.526682
105.249255,61,57.603403
250.772391,131,57.739077
209.877365,96,57.824193
118.010698,62,57.878295
207.177283,96,57.969206
215.108543,99,58.057915
230.31542,104,58.153401
218.88194,102,58.243785
228.756828,101,58.339941
148.206552,79,58.421346
326.226038,133,58.543141
237.320928,105,59.96533
248.74496,113,60.075063
240.652942,109,60.182433
73.126523,46,60.226644
268.947972,118,60.335092
68.60144,40,60.377391
254.351009,117,60.490925
241.809794,114,60.594109
32.191644,23,60.624547
211.399689,95,60.756234
260.325948,121,60.911435
257.280114,115,61.023961
323.360822,128,61.144003
262.230381,112,61.245157
218.472967,97,61.337155
244.613004,104,61.441406
295.78008,130,61.560275
186.798714,88,61.64291
200.070829,93,61.729051
212.063249,99,61.820095
368.828559,143,61.957018
243.756985,116,63.411901
167.876452,81,63.496056
308.076504,126,63.636384
334.367385,129,63.755878
299.518548,121,63.86822
172.020776,89,63.951102
335.108821,136,64.076335
304.482582,124,64.200642
316.086869,125,64.314871
244.524799,117,64.423944
382.109158,160,64.57186
199.138532,98,64.729234
261.474991,111,64.834734
298.340172,118,64.952075
321.292695,136,65.07719
238.538456,116,65.187764
244.768419,104,65.283475
336.10544,137,66.683185
251.615135,114,66.791517
324.59979,119,66.90136
300.912239,128,67.170343
243.754688,103,67.357083
305.833161,123,67.475296
266.449582,123,67.597322
356.148205,139,67.73448
281.373512,121,67.855971
234.705129,113,67.959937
174.401049,88,68.043379
258.7726,104,68.153502
325.106567,140,68.276676
216.755947,95,68.369064
299.251603,122,68.481233
306.063322,128,68.597925
313.041472,129,68.718053
145.05042,83,70.579434
