Episode 51: Reward = [1318.5974], lambda_i = 2, phi = 6.074571704653479, phi_i_L = 5.0, phi_i_H = 6.5
Episode 52: Reward = [1039.7733], lambda_i = 5, phi = 0.41432949134399394, phi_i_L = 0.01, phi_i_H = 0.5
Episode 53: Reward = [1046.9237], lambda_i = 3, phi = 0.2019421544753485, phi_i_L = 0.01, phi_i_H = 0.5
Episode 54: Reward = [1031.5848], lambda_i = 1, phi = 2.7203359122469957, phi_i_L = 2.7, phi_i_H = 3.6
Episode 55: Reward = [1039.7905], lambda_i = 2, phi = 6.074571704653479, phi_i_L = 5.0, phi_i_H = 6.5
Episode 56: Reward = [1078.6895], lambda_i = 1, phi = 2.7203359122469957, phi_i_L = 2.7, phi_i_H = 3.6
Episode 57: Reward = [1086.6311], lambda_i = 3, phi = 0.2019421544753485, phi_i_L = 0.01, phi_i_H = 0.5
Episode 58: Reward = [1215.8733], lambda_i = 5, phi = 0.41432949134399394, phi_i_L = 0.01, phi_i_H = 0.5
Episode 59: Reward = [1183.0077], lambda_i = 1, phi = 2.7203359122469957, phi_i_L = 2.7, phi_i_H = 3.6
Episode 60: Reward = [1242.0276], lambda_i = 3, phi = 0.2019421544753485, phi_i_L = 0.01, phi_i_H = 0.5
Episode 61: Reward = [1229.2749], lambda_i = 4, phi = 0.3283447636236547, phi_i_L = 0.01, phi_i_H = 0.5
Episode 62: Reward = [1159.7579], lambda_i = 0, phi = 4.255008244990702, phi_i_L = 3.8, phi_i_H = 4.9
Episode 63: Reward = [1425.5675], lambda_i = 2, phi = 6.074571704653479, phi_i_L = 5.0, phi_i_H = 6.5
Episode 64: Reward = [1036.6533], lambda_i = 1, phi = 2.7203359122469957, phi_i_L = 2.7, phi_i_H = 3.6
Episode 65: Reward = [1273.2174], lambda_i = 4, phi = 0.3283447636236547, phi_i_L = 0.01, phi_i_H = 0.5
Episode 66: Reward = [1298.1927], lambda_i = 3, phi = 0.2519421544753485, phi_i_L = 0.01, phi_i_H = 0.55
Episode 67: Reward = [1279.0405], lambda_i = 3, phi = 0.2519421544753485, phi_i_L = 0.01, phi_i_H = 0.55
Episode 68: Reward = [1303.3622], lambda_i = 3, phi = 0.2519421544753485, phi_i_L = 0.01, phi_i_H = 0.55
Episode 69: Reward = [1272.7242], lambda_i = 2, phi = 6.074571704653479, phi_i_L = 5.0, phi_i_H = 6.5
Episode 70: Reward = [1136.7574], lambda_i = 3, phi = 0.2519421544753485, phi_i_L = 0.01, phi_i_H = 0.55
Episode 71: Reward = [1116.9329], lambda_i = 0, phi = 4.255008244990702, phi_i_L = 3.8, phi_i_H = 4.9
Episode 72: Reward = [1266.6296], lambda_i = 3, phi = 0.2519421544753485, phi_i_L = 0.01, phi_i_H = 0.55
Episode 73: Reward = [1119.1538], lambda_i = 2, phi = 6.074571704653479, phi_i_L = 5.0, phi_i_H = 6.5
Episode 74: Reward = [1172.9625], lambda_i = 5, phi = 0.41432949134399394, phi_i_L = 0.01, phi_i_H = 0.5
Episode 75: Reward = [1232.8494], lambda_i = 3, phi = 0.27694215447534853, phi_i_L = 0.01, phi_i_H = 0.5750000000000001
Episode 76: Reward = [1220.3359], lambda_i = 1, phi = 2.7203359122469957, phi_i_L = 2.7, phi_i_H = 3.6
Episode 77: Reward = [1331.3573], lambda_i = 0, phi = 4.255008244990702, phi_i_L = 3.8, phi_i_H = 4.9
Episode 78: Reward = [1265.9537], lambda_i = 1, phi = 2.7203359122469957, phi_i_L = 2.7, phi_i_H = 3.6
Episode 79: Reward = [1488.1031], lambda_i = 4, phi = 0.3283447636236547, phi_i_L = 0.01, phi_i_H = 0.5
Episode 80: Reward = [1482.111], lambda_i = 1, phi = 2.7203359122469957, phi_i_L = 2.7, phi_i_H = 3.6
Episode 81: Reward = [1446.7034], lambda_i = 1, phi = 2.7203359122469957, phi_i_L = 2.7, phi_i_H = 3.6
Episode 82: Reward = [1269.2786], lambda_i = 2, phi = 6.074571704653479, phi_i_L = 5.0, phi_i_H = 6.5
Episode 83: Reward = [1458.0308], lambda_i = 4, phi = 0.3283447636236547, phi_i_L = 0.01, phi_i_H = 0.5
Episode 84: Reward = [1262.557], lambda_i = 2, phi = 6.074571704653479, phi_i_L = 5.0, phi_i_H = 6.5
Episode 85: Reward = [1296.9363], lambda_i = 3, phi = 0.27694215447534853, phi_i_L = 0.01, phi_i_H = 0.5750000000000001
Episode 86: Reward = [1260.7385], lambda_i = 1, phi = 2.7203359122469957, phi_i_L = 2.7, phi_i_H = 3.6
Episode 87: Reward = [1347.9403], lambda_i = 3, phi = 0.27694215447534853, phi_i_L = 0.01, phi_i_H = 0.5750000000000001
Episode 88: Reward = [1448.9067], lambda_i = 3, phi = 0.27694215447534853, phi_i_L = 0.01, phi_i_H = 0.5750000000000001
Episode 89: Reward = [1276.6644], lambda_i = 0, phi = 4.255008244990702, phi_i_L = 3.8, phi_i_H = 4.9
Episode 90: Reward = [1464.2401], lambda_i = 2, phi = 6.074571704653479, phi_i_L = 5.0, phi_i_H = 6.5
Episode 91: Reward = [1378.4043], lambda_i = 1, phi = 2.7203359122469957, phi_i_L = 2.7, phi_i_H = 3.6
