Episode 56: Reward = [1266.7379], lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 57: Reward = [1229.6825], lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 58: Reward = [1397.3352], lambda_i = 3, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 59: Reward = [1331.5983], lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 60: Reward = [1330.8945], lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 61: Reward = [1394.4988], lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 62: Reward = [1347.8842], lambda_i = 3, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 63: Reward = [1381.6967], lambda_i = 0, phi = 4.5, phi_i_L = 3.6, phi_i_H = 4.5
Episode 64: Reward = [1294.5142], lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 65: Reward = [1144.913], lambda_i = 4, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 66: Reward = [1436.3376], lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 67: Reward = [1484.0583], lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.5
Episode 68: Reward = [722.9905], lambda_i = 0, phi = 3.6, phi_i_L = 3.6, phi_i_H = 4.5
Episode 69: Reward = [1218.6681], lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 70: Reward = [1105.0488], lambda_i = 0, phi = 3.6, phi_i_L = 3.6, phi_i_H = 4.5
Episode 71: Reward = [1120.1863], lambda_i = 4, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 72: Reward = [1312.2302], lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 73: Reward = [1258.5969], lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 74: Reward = [1085.7378], lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 75: Reward = [1089.4712], lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 76: Reward = [1013.599], lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 77: Reward = [1237.6146], lambda_i = 0, phi = 3.6, phi_i_L = 3.6, phi_i_H = 4.5
Episode 78: Reward = [1364.6174], lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.5
Episode 79: Reward = [1457.0293], lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.5
Episode 80: Reward = [1138.8593], lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 81: Reward = [1179.3257], lambda_i = 3, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 82: Reward = [1303.256], lambda_i = 2, phi = 4.6, phi_i_L = 4.6, phi_i_H = 5.5
Episode 83: Reward = [1178.4097], lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 84: Reward = [1237.4019], lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 85: Reward = [1187.4183], lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 86: Reward = [1244.9253], lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 87: Reward = [1171.1775], lambda_i = 5, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 88: Reward = [1257.957], lambda_i = 4, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 89: Reward = [1454.1809], lambda_i = 5, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 90: Reward = [1194.6735], lambda_i = 3, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 91: Reward = [1186.6974], lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 92: Reward = [1296.0938], lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 93: Reward = [1603.6084], lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 94: Reward = [1387.379], lambda_i = 3, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.4
Episode 95: Reward = [1340.8347], lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 96: Reward = [1449.0399], lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 97: Reward = [1423.1799], lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 98: Reward = [1387.4568], lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 99: Reward = [1380.7543], lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
