Episode 43: Reward = [1095.5261], Entropy = -0.36513467755828016,  lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 44: Reward = [1069.1213], Entropy = -0.36513467755828016,  lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 45: Reward = [1057.4764], Entropy = -0.36513467755828016,  lambda_i = 3, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 46: Reward = [1140.0265], Entropy = -0.36513467755828016,  lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 47: Reward = [1057.8229], Entropy = -0.36513467755828016,  lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 48: Reward = [1126.2748], Entropy = -0.36513467755828016,  lambda_i = 4, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 49: Reward = [1144.4596], Entropy = -0.36513467755828016,  lambda_i = 4, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 50: Reward = [1109.5864], Entropy = -0.36513467755828016,  lambda_i = 3, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 51: Reward = [1096.6116], Entropy = -0.36513467755828016,  lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 52: Reward = [1129.7827], Entropy = -0.36513467755828016,  lambda_i = 3, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 53: Reward = [1127.4932], Entropy = -0.36513467755828016,  lambda_i = 3, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 54: Reward = [1150.7717], Entropy = -0.36513467755828016,  lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 55: Reward = [1143.2346], Entropy = -0.36513467755828016,  lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 56: Reward = [1424.7019], Entropy = -0.36513467755828016,  lambda_i = 0, phi = 4.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 57: Reward = [1202.122], Entropy = -0.36513467755828016,  lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 58: Reward = [1370.459], Entropy = -0.36513467755828016,  lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 59: Reward = [1361.1498], Entropy = -0.36513467755828016,  lambda_i = 5, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 60: Reward = [1245.4084], Entropy = -0.36513467755828016,  lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 61: Reward = [1218.9244], Entropy = -0.36513467755828016,  lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 62: Reward = [1176.0999], Entropy = -0.36513467755828016,  lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 63: Reward = [1159.4132], Entropy = -0.36513467755828016,  lambda_i = 2, phi = 5.5, phi_i_L = 4.6, phi_i_H = 5.5
Episode 64: Reward = [1287.3727], Entropy = -0.36513467755828016,  lambda_i = 0, phi = 4.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 65: Reward = [1238.5006], Entropy = -0.36513467755828016,  lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 66: Reward = [1209.1476], Entropy = -0.36513467755828016,  lambda_i = 3, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 67: Reward = [1170.1556], Entropy = -0.36513467755828016,  lambda_i = 3, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 68: Reward = [1083.3181], Entropy = -0.36513467755828016,  lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 69: Reward = [1051.0809], Entropy = -0.36513467755828016,  lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 70: Reward = [1082.081], Entropy = -0.36513467755828016,  lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 71: Reward = [1217.6788], Entropy = -0.36513467755828016,  lambda_i = 4, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 72: Reward = [1320.0066], Entropy = -0.36513467755828016,  lambda_i = 1, phi = 2.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 73: Reward = [1085.0142], Entropy = -0.36513467755828016,  lambda_i = 5, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 74: Reward = [1115.403], Entropy = -0.36513467755828016,  lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 75: Reward = [1095.372], Entropy = -0.36513467755828016,  lambda_i = 3, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 76: Reward = [1093.4316], Entropy = -0.36513467755828016,  lambda_i = 5, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 77: Reward = [1174.7671], Entropy = -0.36513467755828016,  lambda_i = 3, phi = 0.001, phi_i_L = 0.001, phi_i_H = 0.5
Episode 78: Reward = [1149.9972], Entropy = -0.36513467755828016,  lambda_i = 4, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 79: Reward = [1352.3119], Entropy = -0.36513467755828016,  lambda_i = 3, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 80: Reward = [1299.4331], Entropy = -0.4024087907018894,  lambda_i = 1, phi = 3.3, phi_i_L = 2.3, phi_i_H = 3.3
Episode 81: Reward = [1271.4517], Entropy = -0.4024087907018894,  lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
Episode 82: Reward = [1413.6316], Entropy = -0.4024087907018894,  lambda_i = 3, phi = 0.4, phi_i_L = 0.001, phi_i_H = 0.4
Episode 83: Reward = [1372.9807], Entropy = -0.4024087907018894,  lambda_i = 5, phi = 0.5, phi_i_L = 0.001, phi_i_H = 0.5
Episode 84: Reward = [1294.1733], Entropy = -0.4024087907018894,  lambda_i = 0, phi = 3.5, phi_i_L = 3.5, phi_i_H = 4.5
