Wall time,Step,Value
1725451539.3464592,4,0.23609817028045654
1725451581.0669792,18,0.1595783829689026
1725451609.681133,26,0.25006645917892456
1725451612.3125587,27,0.22029955685138702
1725451651.4747596,40,0.18443746864795685
1725451674.3408852,47,0.17219004034996033
1725451677.718601,48,0.1526804268360138
1725451716.133264,62,0.1518479436635971
1725451719.1318603,63,0.17002007365226746
1725451729.8866742,67,0.16529881954193115
1725451741.690497,71,0.16050124168395996
1725451757.9918098,77,0.1465141922235489
1725451772.2407835,82,0.2156895250082016
1725451792.9593246,89,0.17291855812072754
1725451822.7078943,99,0.2292441427707672
1725451834.4815078,103,0.23928368091583252
1725451845.2867131,107,0.20975510776042938
1725451883.7929895,121,0.2568780481815338
1725451894.698867,125,0.28228336572647095
1725451897.3266258,126,0.285209983587265
1725451903.0318046,128,0.23017172515392303
1725451908.3845327,130,0.28708067536354065
1725451926.00037,136,0.2197248935699463
1725451947.5245306,144,0.24599774181842804
1725451956.0343597,147,0.30372196435928345
1725451983.074166,157,0.2721790671348572
1725451991.5393152,160,0.24493207037448883
1725451997.0151393,162,0.26419001817703247
1725452002.3612092,164,0.3034052550792694
1725452025.467138,172,0.2378166764974594
1725452039.7631037,177,0.23620252311229706
1725452077.8118687,191,0.17974862456321716
1725452110.265673,203,0.23176756501197815
1725452115.5389457,205,0.22396430373191833
1725452137.6687753,213,0.2056456357240677
1725452181.6735923,229,0.19355978071689606
1725452223.8363085,244,0.23718467354774475
1725452226.7802193,245,0.18458493053913116
1725452264.183121,258,0.19947656989097595
1725452266.8216896,259,0.18210726976394653
1725452300.154418,271,0.24448907375335693
1725452308.0930574,274,0.2421383410692215
1725452330.393865,282,0.20349910855293274
1725452338.228614,285,0.17131291329860687
1725452351.4967828,290,0.1943550556898117
1725452365.0577297,295,0.24362964928150177
1725452401.095189,308,0.257337361574173
1725452423.0855277,316,0.2439568191766739
1725452428.4601848,318,0.20017175376415253
1725452431.0956943,319,0.1893465220928192
1725452440.9760811,322,0.2202724814414978
1725452553.3828316,345,0.3310328423976898
1725452558.4927564,346,0.3347266614437103
1725452609.74089,358,0.26422131061553955
1725452633.8991451,364,0.19832295179367065
1725452639.9965637,365,0.23696111142635345
1725452644.2845073,366,0.26547345519065857
1725452701.775955,378,0.31871098279953003
1725452739.7149806,386,0.2854246199131012
1725452757.2575176,390,0.23934929072856903
1725452766.6293159,392,0.22632262110710144
1725452787.4380717,397,0.21846912801265717
1725452809.03549,402,0.2600334882736206
1725452817.7848358,404,0.23227034509181976
1725452871.1299567,415,0.31568020582199097
1725452896.8984942,421,0.32576751708984375
1725452901.2335668,422,0.2714594304561615
1725452961.0945857,436,0.2960610091686249
1725452965.7378225,437,0.31015440821647644
1725452974.439386,439,0.27787432074546814
1725453003.0407033,446,0.23875224590301514
1725453069.6495683,461,0.33386895060539246
1725453086.9332354,465,0.3083646297454834
1725453099.3661246,468,0.22504079341888428
1725453107.8541024,470,0.29109758138656616
