Episode 61: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.5, Action: phi_i_L[3] decreased by 0.1
Episode 72: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.5, Action: phi_i_L[4] decreased by 0.1
Episode 83: lambda_i = 0, phi_i_L = 3.4, phi_i_H = 4.5, Action: phi_i_L[0] decreased by 0.1
Episode 94: lambda_i = 2, phi_i_L = 4.5, phi_i_H = 5.5, Action: phi_i_L[2] decreased by 0.1
Episode 96: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_H[4] increased by 0.1
Episode 110: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.5, Action: phi_i_L[5] decreased by 0.1
Episode 116: lambda_i = 1, phi_i_L = 2.1999999999999997, phi_i_H = 3.3, Action: phi_i_L[1] decreased by 0.1
Episode 117: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_H[5] increased by 0.1
Episode 122: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_H[3] increased by 0.1
Episode 126: lambda_i = 0, phi_i_L = 3.4, phi_i_H = 4.6, Action: phi_i_H[0] increased by 0.1
Episode 161: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_H[3] increased by 0.1
Episode 174: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_L[3] decreased by 0.1
Episode 177: lambda_i = 1, phi_i_L = 2.1999999999999997, phi_i_H = 3.4, Action: phi_i_H[1] increased by 0.1
Episode 182: lambda_i = 0, phi_i_L = 3.3, phi_i_H = 4.6, Action: phi_i_L[0] decreased by 0.1
Episode 202: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_L[4] decreased by 0.1
Episode 208: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_H[4] increased by 0.1
Episode 213: lambda_i = 2, phi_i_L = 4.5, phi_i_H = 5.6, Action: phi_i_H[2] increased by 0.1
Episode 225: lambda_i = 0, phi_i_L = 3.3, phi_i_H = 4.699999999999999, Action: phi_i_H[0] increased by 0.1
Episode 234: lambda_i = 2, phi_i_L = 4.4, phi_i_H = 5.6, Action: phi_i_L[2] decreased by 0.1
Episode 245: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.6, Action: phi_i_L[5] decreased by 0.1
Episode 259: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_H[5] increased by 0.1
Episode 264: lambda_i = 1, phi_i_L = 2.1999999999999997, phi_i_H = 3.5, Action: phi_i_H[1] increased by 0.1
Episode 283: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.7, Action: phi_i_L[3] decreased by 0.1
Episode 285: lambda_i = 2, phi_i_L = 4.4, phi_i_H = 5.699999999999999, Action: phi_i_H[2] increased by 0.1
Episode 289: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_H[4] increased by 0.1
Episode 298: lambda_i = 0, phi_i_L = 3.1999999999999997, phi_i_H = 4.699999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 308: lambda_i = 1, phi_i_L = 2.0999999999999996, phi_i_H = 3.5, Action: phi_i_L[1] decreased by 0.1
Episode 313: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_H[3] increased by 0.1
Episode 343: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 355: lambda_i = 2, phi_i_L = 4.300000000000001, phi_i_H = 5.699999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 356: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_H[5] increased by 0.1
Episode 364: lambda_i = 0, phi_i_L = 3.1999999999999997, phi_i_H = 4.799999999999999, Action: phi_i_H[0] increased by 0.1
Episode 376: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.7999999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 383: lambda_i = 1, phi_i_L = 2.0999999999999996, phi_i_H = 3.6, Action: phi_i_H[1] increased by 0.1
Episode 404: lambda_i = 0, phi_i_L = 3.0999999999999996, phi_i_H = 4.799999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 416: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.8999999999999999, Action: phi_i_H[4] increased by 0.1
Episode 425: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.8999999999999999, Action: phi_i_H[3] increased by 0.1
Episode 442: lambda_i = 2, phi_i_L = 4.300000000000001, phi_i_H = 5.799999999999999, Action: phi_i_H[2] increased by 0.1
Episode 447: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.8999999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 457: lambda_i = 0, phi_i_L = 3.0999999999999996, phi_i_H = 4.899999999999999, Action: phi_i_H[0] increased by 0.1
Episode 475: lambda_i = 1, phi_i_L = 1.9999999999999996, phi_i_H = 3.6, Action: phi_i_L[1] decreased by 0.1
Episode 478: lambda_i = 1, phi_i_L = 1.9999999999999996, phi_i_H = 3.7, Action: phi_i_H[1] increased by 0.1
Episode 491: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.8999999999999999, Action: phi_i_H[5] increased by 0.1
Episode 492: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.9999999999999999, Action: phi_i_H[4] increased by 0.1
Episode 493: lambda_i = 2, phi_i_L = 4.200000000000001, phi_i_H = 5.799999999999999, Action: phi_i_L[2] decreased by 0.1
Episode 499: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.8999999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 505: lambda_i = 0, phi_i_L = 2.9999999999999996, phi_i_H = 4.899999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 516: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 0.9999999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 534: lambda_i = 1, phi_i_L = 1.8999999999999995, phi_i_H = 3.7, Action: phi_i_L[1] decreased by 0.1
Episode 544: lambda_i = 1, phi_i_L = 1.8999999999999995, phi_i_H = 3.8000000000000003, Action: phi_i_H[1] increased by 0.1
Episode 562: lambda_i = 0, phi_i_L = 2.8999999999999995, phi_i_H = 4.899999999999999, Action: phi_i_L[0] decreased by 0.1
Episode 569: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.9999999999999999, Action: phi_i_H[3] increased by 0.1
Episode 580: lambda_i = 2, phi_i_L = 4.200000000000001, phi_i_H = 5.899999999999999, Action: phi_i_H[2] increased by 0.1
Episode 586: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.9999999999999999, Action: phi_i_H[5] increased by 0.1
Episode 596: lambda_i = 0, phi_i_L = 2.8999999999999995, phi_i_H = 4.999999999999998, Action: phi_i_H[0] increased by 0.1
Episode 608: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.9999999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 614: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_H[4] increased by 0.1
Episode 639: lambda_i = 4, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_L[4] decreased by 0.1
Episode 645: lambda_i = 2, phi_i_L = 4.200000000000001, phi_i_H = 5.999999999999998, Action: phi_i_H[2] increased by 0.1
Episode 648: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 0.9999999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 652: lambda_i = 2, phi_i_L = 4.100000000000001, phi_i_H = 5.999999999999998, Action: phi_i_L[2] decreased by 0.1
Episode 666: lambda_i = 1, phi_i_L = 1.8999999999999995, phi_i_H = 3.9000000000000004, Action: phi_i_H[1] increased by 0.1
Episode 669: lambda_i = 1, phi_i_L = 1.7999999999999994, phi_i_H = 3.9000000000000004, Action: phi_i_L[1] decreased by 0.1
Episode 675: lambda_i = 0, phi_i_L = 2.8999999999999995, phi_i_H = 5.099999999999998, Action: phi_i_H[0] increased by 0.1
Episode 702: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_H[3] increased by 0.1
Episode 722: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 0.9999999999999999, Action: phi_i_L[5] decreased by 0.1
Episode 731: lambda_i = 2, phi_i_L = 4.000000000000002, phi_i_H = 5.999999999999998, Action: phi_i_L[2] decreased by 0.1
Episode 736: lambda_i = 5, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_H[5] increased by 0.1
Episode 739: lambda_i = 3, phi_i_L = 0.0, phi_i_H = 1.0999999999999999, Action: phi_i_L[3] decreased by 0.1
Episode 755: lambda_i = 0, phi_i_L = 2.7999999999999994, phi_i_H = 5.099999999999998, Action: phi_i_L[0] decreased by 0.1
Episode 762: lambda_i = 1, phi_i_L = 1.6999999999999993, phi_i_H = 3.9000000000000004, Action: phi_i_L[1] decreased by 0.1
