#{"t_start": 1726155755.3063045, "env_id": "CustomHopper-v0"}
r,l,t
19.89615,21,16.977036
15.400345,19,16.99785
118.948969,74,18.904706
55.724087,37,18.957149
77.760949,46,19.027915
91.029762,57,19.117182
12.368457,13,19.135726
122.369601,64,19.219115
102.532242,62,19.309968
91.574831,53,19.389913
125.350072,72,19.485539
64.979308,39,19.541832
214.16382,100,19.679029
152.2575,82,19.777282
111.830807,60,19.84534
21.162502,22,19.874787
123.626751,69,19.968271
115.511404,61,20.049089
183.668337,93,20.160604
90.541249,51,20.217039
81.919728,49,20.279237
23.900436,23,20.307152
68.013559,44,20.350623
150.896783,77,20.429322
91.801287,53,20.484464
98.404658,56,20.551702
148.951093,84,20.652472
6.915495,9,20.660724
143.647631,103,20.795534
51.627644,37,20.838287
93.82164,53,20.896467
245.768802,115,21.031253
140.557826,72,21.129288
155.816763,79,21.229879
101.447051,66,21.308705
171.691999,84,21.411741
84.728133,49,23.39803
158.642275,78,23.503692
83.733305,47,23.56489
75.992172,46,23.641305
185.64121,84,23.749659
116.821001,64,23.839789
142.635441,76,23.9401
117.436886,63,24.026632
202.231164,91,24.133468
109.300593,61,24.208282
93.328159,53,24.284648
86.044523,50,24.371235
209.039623,93,24.476704
85.870273,51,24.538441
52.718604,38,24.585015
24.404619,25,24.618464
90.752608,51,24.674655
200.934666,108,24.809354
8.789251,11,24.824179
141.095916,83,24.921998
108.214341,68,24.994314
257.122639,130,25.13733
158.919424,77,25.233722
106.857146,57,25.301181
93.888143,57,25.360529
62.906518,49,25.421556
19.772593,19,25.440487
239.454489,109,25.557386
116.450841,62,25.63047
67.879732,41,25.671772
94.005525,70,25.750705
41.077624,32,25.782037
76.660655,46,25.841639
193.948167,89,27.954939
237.721556,105,28.10182
77.168608,46,28.162686
237.432829,108,28.305161
76.197653,45,28.367185
191.251634,88,28.480693
67.283478,40,28.536106
49.662212,29,28.579419
222.775726,100,28.703217
106.111366,71,28.785658
110.292748,61,28.848298
206.21006,94,28.964599
80.651766,47,29.016628
195.690701,93,29.131767
69.789196,41,29.184584
81.316479,48,29.248755
228.582466,111,29.383594
79.142684,48,29.438002
127.419771,69,29.538017
74.972406,68,29.636473
122.31327,72,29.750422
150.994269,79,29.907561
202.157795,93,30.023645
153.93201,81,30.122043
167.996442,92,30.230929
76.211066,45,30.281842
76.949377,51,30.342918
181.974501,86,30.446838
104.729027,59,30.530567
142.982361,81,32.48433
87.21717,49,32.56758
221.237168,104,32.699872
199.375768,104,32.841184
208.78637,106,32.974323
200.88227,102,33.109156
77.388561,45,33.158538
127.526501,67,33.233988
210.183631,117,33.382267
87.120941,51,33.43966
